model,experiment,horizon,router,train_time_sec,inference_time_sec,MAE,RMSE,sMAPE,MSLE,P99_abs_error
SARIMA,SARIMA_raw,12,boston,1.324749231338501,0.0148408412933349,19315805.10304744,26753034.07266716,117.18481684504918,2.828423615241616,82471711.49369885
SARIMA,SARIMA_raw,24,boston,1.324749231338501,0.0148408412933349,21087112.38844261,30001994.025985103,123.72133284208174,4.675564167664784,88443274.20781375
XGBoost,XGB_raw,1,boston,5.47849440574646,0.0133905410766601,75167096.0,105541231.3329609,147.07858276367188,7.600461959838867,211565952.0
XGBoost,XGB_raw,6,boston,5.836252212524414,0.0061051845550537,83916680.0,114580690.77111854,154.8983154296875,7.482597351074219,217498112.0
XGBoost,XGB_raw,12,boston,4.358180046081543,0.0130937099456787,90998024.0,110355200.35839704,159.851318359375,9.500897407531738,215274192.0
XGBoost,XGB_raw,24,boston,5.907471895217896,0.0132415294647216,38779700.0,53386023.93526815,139.87893676757812,6.350351333618164,163009536.0
NBEATS,NBEATS_raw,1,boston,2.531069040298462,0.2835721969604492,18830263.527586207,21569436.552654475,107.35122981878492,2.7088798070226696,55696446.40000001
NBEATS,NBEATS_raw,6,boston,2.531069040298462,0.2835721969604492,15277060.312931037,21765826.23017293,110.79805101957838,35.6767450971842,69079318.40000005
NBEATS,NBEATS_raw,12,boston,2.531069040298462,0.2835721969604492,10487120.903448276,15695833.74077202,87.79186026864213,10.925151907840856,55304096.000000015
NBEATS,NBEATS_raw,24,boston,2.531069040298462,0.2835721969604492,8829495.268103449,15736290.16740464,87.51415833736732,19.911184960136687,62852783.68
NBEATS,NBEATS_mask_out,1,boston,2.5418038368225098,0.3048398494720459,11218215.52346444,16359458.849359471,145.43188415918107,112.50625129205432,54488549.32000003
NBEATS,NBEATS_mask_out,6,boston,2.5418038368225098,0.3048398494720459,17843163.227586206,23157076.90007327,108.91857416789212,19.4091339290476,58236594.40000002
NBEATS,NBEATS_mask_out,12,boston,2.5418038368225098,0.3048398494720459,9168561.873706896,14516995.69430776,139.49907767771285,104.2162989210349,48854426.40000004
NBEATS,NBEATS_mask_out,24,boston,2.5418038368225098,0.3048398494720459,7364885.410317888,13440893.523895817,133.33850857409658,98.35037801866214,56005550.3925
TiDE,TiDE_raw,1,boston,4.539780378341675,0.203315258026123,15064284.33448276,19264436.44394733,90.8172051218412,2.523663365260413,54339645.76000004
TiDE,TiDE_raw,6,boston,4.539780378341675,0.203315258026123,13771176.77586207,17027858.461893953,93.70970124151002,2.5886667253245847,46692725.44000003
TiDE,TiDE_raw,12,boston,4.539780378341675,0.203315258026123,12113339.155172411,15708025.67420947,92.0548527730938,2.26573697789598,47613143.040000014
TiDE,TiDE_raw,24,boston,4.539780378341675,0.203315258026123,12413381.548275862,16262857.218449114,100.78802344809226,3.1990635528488687,52768068.8
TiDE,TiDE_score_as_feature,1,boston,5.463725328445435,0.2726855278015136,9742083.606896551,13609925.994692622,76.96400850079308,1.648896082510291,46404167.680000015
TiDE,TiDE_score_as_feature,6,boston,5.463725328445435,0.2726855278015136,10213010.803448277,13183442.224606192,83.87516781515131,1.874982342415604,44762970.88
TiDE,TiDE_score_as_feature,12,boston,5.463725328445435,0.2726855278015136,11678177.203448275,14788040.928961894,91.1834534127713,2.240330908409041,44431151.36000001
TiDE,TiDE_score_as_feature,24,boston,5.463725328445435,0.2726855278015136,11477693.668965517,15531765.652626036,96.82710169010426,2.924262622777212,51039911.68000001
TiDE,TiDE_mask_out,1,boston,6.681603908538818,0.2438139915466308,16806072.048275862,21524611.9962788,93.47993322709009,2.864507982967598,58510200.32000004
